Simulation Time,used STY,used MDO
559.081,0.000462162,2.46E-05
562.557,0.000465034,2.48E-05
566.01,0.000467903,2.49E-05
569.445,0.000470777,2.51E-05
572.869,0.000473649,2.52E-05
576.332,0.000476518,2.54E-05
579.791,0.000479388,2.55E-05
583.195,0.000482257,2.57E-05
586.666,0.000485125,2.58E-05
590.11,0.000487998,2.60E-05
593.536,0.000490869,2.61E-05
596.987,0.000493743,2.63E-05
600.436,0.00049661,2.64E-05
603.89,0.000499486,2.66E-05
607.413,0.000502352,2.68E-05
610.795,0.000505223,2.69E-05
614.237,0.000508091,2.71E-05
617.662,0.00051096,2.72E-05
621.171,0.00051383,2.74E-05
624.671,0.000516702,2.75E-05
628.14,0.000519577,2.77E-05
631.644,0.000522448,2.78E-05
635.127,0.000525315,2.80E-05
638.557,0.000528187,2.81E-05
642.031,0.000531055,2.83E-05
645.526,0.000533927,2.84E-05
649.014,0.000536797,2.86E-05
652.488,0.000539668,2.87E-05
655.992,0.000542542,2.89E-05
659.496,0.000545412,2.90E-05
662.982,0.000548289,2.92E-05
666.506,0.000551158,2.94E-05
669.95,0.000554033,2.95E-05
673.45,0.000556902,2.97E-05
676.913,0.000559776,2.98E-05
680.342,0.000562644,3.00E-05
683.799,0.000565515,3.01E-05
687.294,0.000568382,3.03E-05
690.717,0.00057125,3.04E-05
694.192,0.000574116,3.06E-05
697.705,0.00057699,3.07E-05
701.133,0.000579858,3.09E-05
704.692,0.000582733,3.10E-05
708.126,0.000585604,3.12E-05
711.594,0.000588476,3.13E-05
715.011,0.000591349,3.15E-05
718.419,0.000594221,3.16E-05
721.877,0.000597094,3.18E-05
725.354,0.000599963,3.19E-05
728.819,0.000602828,3.21E-05
732.412,0.000605697,3.23E-05
735.919,0.000608566,3.24E-05
739.33,0.000611436,3.26E-05
742.796,0.0006143,3.27E-05
746.292,0.000617173,3.29E-05
749.795,0.000620039,3.30E-05
753.418,0.000622911,3.32E-05
756.962,0.000625781,3.33E-05
760.428,0.000628645,3.35E-05
764.014,0.000631513,3.36E-05
767.511,0.000634385,3.38E-05
770.99,0.00063725,3.40E-05
774.5,0.000640119,3.41E-05
777.994,0.000642982,3.43E-05
781.475,0.000645847,3.44E-05
784.983,0.00064871,3.46E-05
788.427,0.000651582,3.47E-05
791.913,0.000654451,3.49E-05
795.446,0.000657324,3.50E-05
798.891,0.000660193,3.52E-05
802.388,0.000663061,3.53E-05
805.914,0.000665934,3.55E-05
809.452,0.000668805,3.56E-05
812.967,0.000671673,3.58E-05
816.54,0.000674542,3.60E-05
820.03,0.000677413,3.61E-05
823.469,0.000680282,3.63E-05
827.027,0.00068315,3.64E-05
830.458,0.000686016,3.66E-05
833.884,0.000688883,3.67E-05
837.354,0.000691756,3.69E-05
840.824,0.000694623,3.70E-05
844.325,0.000697497,3.72E-05
847.707,0.000700364,3.73E-05
851.296,0.000703228,3.75E-05
854.845,0.0007061,3.76E-05
858.326,0.000708968,3.78E-05
861.817,0.00071184,3.80E-05
865.336,0.000714715,3.81E-05
868.8,0.000717582,3.83E-05
872.339,0.000720447,3.84E-05
875.76,0.000723314,3.86E-05
879.249,0.000726183,3.87E-05
882.679,0.000729053,3.89E-05
886.133,0.000731924,3.90E-05
889.609,0.000734787,3.92E-05
893.014,0.000737658,3.93E-05
896.465,0.000740531,3.95E-05
899.805,0.000743407,3.96E-05
903.305,0.000746272,3.98E-05
906.822,0.000749143,3.99E-05
910.22,0.000752014,4.01E-05
913.667,0.000754883,4.02E-05
917.153,0.000757754,4.04E-05
920.606,0.000760625,4.06E-05
924.098,0.000763494,4.07E-05
927.645,0.00076637,4.09E-05
931.064,0.000769236,4.10E-05
934.552,0.000772107,4.12E-05
938.032,0.000774972,4.13E-05
941.453,0.000777841,4.15E-05
944.938,0.000780715,4.16E-05
948.441,0.000783584,4.18E-05
951.939,0.000786456,4.19E-05
955.412,0.000789326,4.21E-05
958.868,0.000792196,4.22E-05
962.368,0.000795065,4.24E-05
965.899,0.000797933,4.25E-05
969.336,0.000800805,4.27E-05
972.836,0.000803676,4.29E-05
976.325,0.000806543,4.30E-05
979.843,0.000809407,4.32E-05
983.345,0.00081228,4.33E-05
986.806,0.000815152,4.35E-05
990.268,0.000818022,4.36E-05
993.712,0.000820892,4.38E-05
997.218,0.000823759,4.39E-05
1000.64,0.000826624,4.41E-05
1004.15,0.000829497,4.42E-05
1007.54,0.000832363,4.44E-05
1011.04,0.000835228,4.45E-05
1014.58,0.000838099,4.47E-05
1018.21,0.000840973,4.49E-05
1021.76,0.000843842,4.50E-05
1025.24,0.000846708,4.52E-05
1028.65,0.000849576,4.53E-05
1032.21,0.000852446,4.55E-05
1035.65,0.000855316,4.56E-05
1039.18,0.000858184,4.58E-05
1042.64,0.000861048,4.59E-05
1046.15,0.000863919,4.61E-05
1049.62,0.000866786,4.62E-05
1053.08,0.000869656,4.64E-05
1056.61,0.000872529,4.65E-05
1060.12,0.000875401,4.67E-05
1063.6,0.000878266,4.68E-05
1067.04,0.000881133,4.70E-05
1070.59,0.000884002,4.72E-05
1074.12,0.00088687,4.73E-05
1077.58,0.000889746,4.75E-05
1081.04,0.000892614,4.76E-05
1084.47,0.000895485,4.78E-05
1087.91,0.000898351,4.79E-05
1091.42,0.000901218,4.81E-05
1094.93,0.000904087,4.82E-05
