Simulation Time,used STY,used MDO
49.7555,0.00038269,0.000102303
50.0992,0.000385173,0.00010297
50.4231,0.000387654,0.000103637
50.7413,0.000390134,0.000104307
51.0665,0.000392618,0.000104972
51.3962,0.000395104,0.000105635
51.713,0.000397594,0.000106296
52.0353,0.00040008,0.00010696
52.3694,0.000402561,0.000107628
52.6986,0.000405048,0.000108291
53.0305,0.000407541,0.000108947
53.3627,0.000410024,0.000109613
53.6934,0.000412507,0.000110279
54.0121,0.000414992,0.000110943
54.334,0.000417477,0.000111608
54.6601,0.000419965,0.000112268
54.9834,0.000422444,0.000112939
55.3081,0.000424929,0.000113602
55.6386,0.000427414,0.000114267
55.9606,0.000429899,0.000114931
56.2842,0.000432381,0.000115599
56.6091,0.000434861,0.000116268
56.9328,0.000437336,0.000116941
57.2654,0.000439816,0.00011761
57.6031,0.000442294,0.000118282
57.9431,0.000444771,0.000118954
58.2691,0.000447259,0.000119616
58.6004,0.000449743,0.000120281
58.9218,0.000452225,0.000120949
59.2342,0.000454707,0.000121617
59.5526,0.000457188,0.000122286
59.8549,0.000459674,0.00012295
60.1499,0.00046217,0.000123603
60.4567,0.000464657,0.000124266
60.7735,0.000467142,0.000124932
61.0903,0.000469626,0.000125598
61.4107,0.000472117,0.000126256
61.7293,0.000474598,0.000126924
62.0543,0.000477083,0.00012759
62.3707,0.000479568,0.000128255
62.6959,0.000482042,0.000128929
63.0229,0.000484526,0.000129593
63.3467,0.00048701,0.000130259
63.6838,0.000489484,0.000130934
64.0082,0.000491961,0.000131605
64.3231,0.000494443,0.000132272
64.6449,0.000496928,0.000132936
64.9688,0.000499411,0.000133602
65.2947,0.000501895,0.000134267
65.6282,0.000504372,0.000134938
65.9543,0.000506857,0.000135603
66.2801,0.000509343,0.000136266
66.5963,0.00051183,0.000136928
66.9293,0.000514313,0.000137595
67.2634,0.000516797,0.00013826
67.5944,0.000519276,0.000138931
67.9068,0.000521763,0.000139594
68.2199,0.000524252,0.000140254
68.5449,0.000526736,0.00014092
68.8698,0.000529221,0.000141583
69.2014,0.000531699,0.000142253
69.524,0.000534187,0.000142915
69.8552,0.000536664,0.000143587
70.1956,0.000539147,0.000144255
70.5217,0.000541632,0.000144918
70.8451,0.000544114,0.000145587
71.1598,0.000546601,0.00014625
71.4882,0.000549077,0.000146923
71.8214,0.000551562,0.000147588
72.1461,0.000554048,0.000148252
72.4753,0.00055653,0.000148918
72.7876,0.000559011,0.000149587
73.0976,0.000561497,0.000150251
73.4051,0.000563973,0.000150925
73.7251,0.000566463,0.000151584
74.0648,0.000568946,0.000152251
74.393,0.000571429,0.000152916
74.7241,0.000573906,0.000153588
75.0515,0.000576395,0.000154248
75.3954,0.000578882,0.00015491
75.7238,0.000581364,0.000155577
76.0375,0.000583841,0.00015625
76.3646,0.000586327,0.000156914
76.6803,0.000588809,0.000157581
76.9975,0.000591298,0.000158242
77.3216,0.000593783,0.000158907
77.6432,0.000596274,0.000159565
77.9625,0.000598759,0.000160229
78.2767,0.00060124,0.000160898
78.597,0.000603725,0.000161562
78.9127,0.000606209,0.000162227
79.2255,0.000608699,0.000162888
79.5544,0.000611185,0.000163551
79.8865,0.000613672,0.000164214
80.2252,0.000616162,0.000164875
80.5502,0.000618639,0.000165547
80.8813,0.000621121,0.000166214
81.2036,0.000623605,0.00016688
81.5263,0.000626091,0.000167543
81.8451,0.000628576,0.000168207
82.1778,0.00063106,0.000168873
82.5092,0.00063355,0.000169533
82.8434,0.000636037,0.000170196
83.1701,0.000638516,0.000170865
83.4918,0.000641,0.000171531
83.8077,0.000643492,0.000172187
84.1281,0.000645982,0.000172847
84.449,0.000648465,0.000173512
84.7757,0.000650948,0.000174179
85.076,0.00065343,0.000174845
85.3793,0.000655918,0.000175507
85.7055,0.000658403,0.000176172
86.052,0.000660888,0.000176836
86.3883,0.000663367,0.000177506
86.7117,0.000665851,0.000178171
87.0378,0.00066833,0.000178842
87.3533,0.000670816,0.000179506
87.6674,0.000673302,0.00018017
87.9855,0.000675787,0.000180834
88.3026,0.000678268,0.000181502
88.6297,0.000680749,0.000182169
88.9574,0.000683237,0.000182832
89.2806,0.000685718,0.0001835
89.5981,0.000688203,0.000184164
89.9079,0.00069069,0.000184827
90.2232,0.000693167,0.000185499
90.5421,0.000695651,0.000186165
90.8557,0.000698129,0.000186836
91.1776,0.000700614,0.000187501
91.5071,0.000703093,0.00018817
91.8341,0.000705569,0.000188843
92.1481,0.000708053,0.000189508
92.461,0.000710536,0.000190174
92.7885,0.000713019,0.000190841
93.132,0.000715502,0.000191508
93.4816,0.000717982,0.000192178
93.8242,0.000720463,0.000192845
94.1598,0.000722942,0.000193515
94.4904,0.000725424,0.000194182
94.8284,0.000727902,0.000194854
95.1478,0.000730385,0.000195519
95.4623,0.000732874,0.000196179
95.7915,0.000735356,0.000196848
96.1146,0.000737841,0.000197511
96.4568,0.000740322,0.000198179
96.8031,0.000742809,0.000198842
97.1539,0.000745288,0.000199513
97.4766,0.000747773,0.000200177
97.7955,0.000750259,0.000200841
98.1233,0.000752735,0.000201514
98.4361,0.000755215,0.000202183
98.76,0.000757702,0.000202845
99.0832,0.000760182,0.000203515
99.3924,0.000762669,0.000204178
99.7118,0.000765152,0.000204843
100.037,0.000767632,0.000205513
100.365,0.000770123,0.000206171
100.68,0.000772606,0.000206837
100.992,0.000775091,0.0002075
101.325,0.000777568,0.000208174
101.65,0.000780048,0.000208843
101.962,0.000782532,0.00020951
102.271,0.000785005,0.000210186
102.603,0.000787486,0.000210854
102.925,0.000789977,0.000211514
103.258,0.000792459,0.000212181
103.586,0.000794936,0.000212853
103.91,0.000797423,0.000213514
104.243,0.000799906,0.00021418
104.575,0.000802389,0.000214847
104.908,0.000804872,0.000215512
105.257,0.000807351,0.000216182
105.597,0.000809831,0.000216852
105.93,0.000812317,0.000217515
106.258,0.000814796,0.000218184
106.585,0.000817281,0.000218848
106.907,0.000819759,0.000219519
107.234,0.000822239,0.000220187
107.564,0.000824729,0.000220847
107.888,0.000827213,0.000221514
108.218,0.000829698,0.000222178
108.536,0.000832186,0.000222841
108.852,0.000834674,0.000223502
109.178,0.00083716,0.000224166
109.512,0.000839644,0.000224832
109.851,0.000842118,0.000225506
110.2,0.000844604,0.000226168
110.525,0.000847089,0.000226832
110.855,0.000849572,0.000227498
111.176,0.000852063,0.000228158
111.501,0.000854544,0.000228825
